//==========================================================
//CATIA V5 BiW Automotive Product Flat Report Format
//==========================================================
//Keyword definitions:
//--------------------
//	HEADER	Header description
//	VERSION	Version of the CATIA BiW Fastening data exchange neutral format
//	DATE	Date when exported
//	PRODUCT	Product name
//	UNIT	Unit used for length values
//	MATHDEF	Mathematical definition (or discretization method) of a curvilinear or an area fastener (POLSAG=Polyline using Sag criterium, POLSTEP=Polyline using Step criterium)
//	POL_DISCRETIZATION_PARAM	Parameter value used to discretize a curvilinear or an area fastener (e.g. Sag value for Polyline definition)
//	BfmJointElement	BiW Fastener
//	JEID	ID
//	LAYER	Layer
//	PCA	Process Category
//	PTY	Process Type
//	FTY	Fastener feature type
//	SDF	Shape definition (0=Point3D,1=Hemisphere inwards material,2=Hemisphere outwards material,3=Shank,4=Shank with Head,5=Shank with Head & Foot,50=CurvePath,60=Cylinder,61=Hemi-cylinder inwards material,62=Hemi-cylinder outwards material,70=Diamond,71=Hemi-diamond inwards material,72=Hemi-diamond outwards material,80=Rectangle,81=Hemi-rectangle inwards material,82=Hemi-rectangle outwards material)
//	ROB	Robustness
//	REG	Regulation
//	FIN	Finish
//	GFL	Geometry Flag
//	IFL	Inspection Flag
//	MID	Manufacturing Code
//	MAT	Material
//	DIA	Diameter
//	HEIGHT	Height
//	LOCX	X coordinate of fastener
//	LOCY	Y coordinate of fastener
//	LOCZ	Z coordinate of fastener
//	WX	X coordinate of fastener's Reference normal vector (W Vector = Surface Material Orientation)
//	WY	Y coordinate of fastener's Reference normal vector (W vector = Surface Material Orientation)
//	WZ	Z coordinate of fastener's Reference normal vector (W Vector = Surface Material Orientation)
//	KFLAG	K Axis Flag (If True, K Fastener Axis orientation is the same than W vector, if False, K vector is the invert of W)
//	UX	X coordinate of fastener's Reference tangent vector (U vector = Vector tangent to the Fastener location surface)
//	UY	Y coordinate of fastener's Reference tangent vector (U vector = Vector tangent to the Fastener location surface)
//	UZ	Z coordinate of fastener's Reference tangent vector (U vector = Vector tangent to the Fastener location surface)
//	IFLAG	I Axis Flag (If True, I Fastener Axis orientation is the same than U vector, if False, I vector is the invert of U)
//	BfmJointBody	BiW JointBody
//	JBID	BiW JointBody Name
//	BfmJoint	BiW Joint
//	JID	BiW Joint Name
//	PRD_PN	Root product reference part number
//	PRD_VERS	Product version
//	PRDINST_PATHID	Product instance path ID (ex: RootProduct01!Product05.1!)
//	CurveEndPoint	CurveEndPoint
//	ENDX	X coordinate of curve fastener end point
//	ENDY	Y coordinate of curve fastener end point
//	ENDZ	Y coordinate of curve fastener end point
//	BfmJointElement_INFO1	Fastener additional computed information
//	LENGTH	Fastener length
//	VOLUME	Fastener volume
//	NTH	Thicknesses Count
//	Zone	Zone
//	ZNAM	Zone ID
//	PATHID	Joined component Product Path (ex: RootProduct01!Product05.1!Part02.1!)
//	ZSUP	Support
//	ZHEM	Hem
//	ZMATNAM	Material
//	ZTH	Thickness
//	All_Joined_Parts	All components that are referenced by a joint in the product
//	JCPN	Joined Component Number (Reference Part Number)
//	JCVERS	Joined component Version
//	BfmJointElement_INFO	Fastener computed projections on crossed thicknesses, ordered along material-oriented normal to support zone.
//	PROJ1X	X coordinate of crossed thickness entry point
//	PROJ1Y	Y coordinate of crossed thickness entry point
//	PROJ1Z	Z coordinate of crossed thickness entry point
//	NORM1X	X coordinate of material-oriented normal to crossed thickness entry point
//	NORM1Y	Y coordinate of material-oriented normal to crossed thickness entry point
//	NORM1Z	Z coordinate of material-oriented normal to crossed thickness entry point
//	PROJ2X	X coordinate of crossed thickness exit point
//	PROJ2Y	Y coordinate of crossed thickness exit point
//	PROJ2Z	Z coordinate of crossed thickness exit point
//	NORM2X	X coordinate of material-oriented normal to crossed thickness exit point
//	NORM2Y	Y coordinate of material-oriented normal to crossed thickness exit point
//	NORM2Z	Z coordinate of material-oriented normal to crossed thickness exit point
//	BfmJointElement_PROJ	Projection fastener (e.g. BfmSpotProjection)
//	PROJZPATHID	Projection zone Path ID (ex: RootProduct01!Product05.1!Part02.1!Surface12!)
//	BfmJointElement_CURVE	Curvilinear fastener (e.g. BfmCurveBead)
//	NBPT	Number of points resulting from the discretization of a curvilinear or an area fastener
//	BfmJointElement_AREA	Area fastener (e.g. BfmSurface)
//==========================================================
//	HEADER_START
//		VERSION	5
//		DATE	05 December 2006
//		PRODUCT	AutomotiveBiWFastening2Parts
//		UNIT	1 mm (Millimeter)
//		MATHDEF	Polyline (Sag criterium)
//		POL_DISCRETIZATION_PARAM	0.2
//	HEADER_END
//==========================================================
//JEID	JBID	JID	PRD_PN	PRD_VERS	PRDINST_PATHID	LAYER	PCA	PTY	FTY	SDF	ROB	REG	FIN	GFL	IFL	MID	MAT	DIA	HEIGHT	LOCX	LOCY	LOCZ	WX	WY	WZ	KFLAG	UX	UY	UZ	IFLAG	ENDX	ENDY	ENDZ	LENGTH	VOLUME	NTH	JCPN	JCVERS	ZNAM	LAYER	PATHID	ZSUP	ZHEM	ZMATNAM	ZTH	PROJ1X	PROJ1Y	PROJ1Z	NORM1X	NORM1Y	NORM1Z	PROJ2X	PROJ2Y	PROJ2Z	NORM2X	NORM2Y	NORM2Z	JCPN	JCVERS	ZNAM	LAYER	PATHID	ZSUP	ZHEM	ZMATNAM	ZTH	PROJ1X	PROJ1Y	PROJ1Z	NORM1X	NORM1Y	NORM1Z	PROJ2X	PROJ2Y	PROJ2Z	NORM2X	NORM2Y	NORM2Z	JCPN	JCVERS	ZNAM	LAYER	PATHID	ZSUP	ZHEM	ZMATNAM	ZTH	PROJ1X	PROJ1Y	PROJ1Z	NORM1X	NORM1Y	NORM1Z	PROJ2X	PROJ2Y	PROJ2Z	NORM2X	NORM2Y	NORM2Z	JCPN	JCVERS	ZNAM	LAYER	PATHID	ZSUP	ZHEM	ZMATNAM	ZTH	PROJ1X	PROJ1Y	PROJ1Z	NORM1X	NORM1Y	NORM1Z	PROJ2X	PROJ2Y	PROJ2Z	NORM2X	NORM2Y	NORM2Z	JCPN	JCVERS	ZNAM	LAYER	PATHID	ZSUP	ZHEM	ZMATNAM	ZTH	PROJ1X	PROJ1Y	PROJ1Z	NORM1X	NORM1Y	NORM1Z	PROJ2X	PROJ2Y	PROJ2Z	NORM2X	NORM2Y	NORM2Z	PROJZPATHID	NBPT	LOCX	LOCY	LOCZ	WX	WY	WZ	UX	UY	UZ
Joint Element.1	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-100.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-100.0	100.0	10.0	0.0	0.0	-1.0	-100.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-100.0	100.0	1.0	0.0	0.0	-1.0	-100.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.2	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-93.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-93.0	100.0	10.0	0.0	0.0	-1.0	-93.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-93.0	100.0	1.0	0.0	0.0	-1.0	-93.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.3	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-86.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-86.0	100.0	10.0	0.0	0.0	-1.0	-86.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-86.0	100.0	1.0	0.0	0.0	-1.0	-86.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.4	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-79.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-79.0	100.0	10.0	0.0	0.0	-1.0	-79.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-79.0	100.0	1.0	0.0	0.0	-1.0	-79.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.5	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-72.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-72.0	100.0	10.0	0.0	0.0	-1.0	-72.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-72.0	100.0	1.0	0.0	0.0	-1.0	-72.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.6	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-65.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-65.0	100.0	10.0	0.0	0.0	-1.0	-65.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-65.0	100.0	1.0	0.0	0.0	-1.0	-65.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.7	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-58.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-58.0	100.0	10.0	0.0	0.0	-1.0	-58.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-58.0	100.0	1.0	0.0	0.0	-1.0	-58.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.8	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-51.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-51.0	100.0	10.0	0.0	0.0	-1.0	-51.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-51.0	100.0	1.0	0.0	0.0	-1.0	-51.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.9	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-44.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-44.0	100.0	10.0	0.0	0.0	-1.0	-44.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-44.0	100.0	1.0	0.0	0.0	-1.0	-44.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Joint Element.10	Joint Body.1	AssemblyJoint.1	AutomotiveBiWFastening2Parts		AutomotiveBiWFastening2Parts!		Welding	Laser (52)	BiW Spot Point	3D Point	Unspecified	Unspecified	Unspecified	F	F		N/A	5.0	N/A	-37.0	100.0	10.0	0.0	0.0	-1.0	T	1.0	0.0	0.0	T	N/A	N/A	N/A	N/A	N/A	2	FirstPartA		!Unspec.!		AutomotiveBiWFastening2Parts!FirstPartA.1!	T	F			-37.0	100.0	10.0	0.0	0.0	-1.0	-37.0	100.0	10.0	0.0	0.0	1.0	SecondPartB		!Unspec.!		AutomotiveBiWFastening2Parts!SecondPartB.1!	F	F			-37.0	100.0	1.0	0.0	0.0	-1.0	-37.0	100.0	0.0	0.0	0.0	1.0																																																																N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
